fleet_name,CY,daily_VMT_per_veh
Delivery Fleet at UPS CC - GARDENA 11477,2018,150
Delivery Fleet at UPS CC - VICTORVILLE 11483,2018,150
Delivery Fleet at UPS CERRITOS 11027,2018,150
Delivery Fleet at UPS CC CHICO 11314,2018,150
Delivery Fleet at UPS CC - MARYSVILLE 11331,2018,150
Delivery Fleet at UPS CC - QUANCY 10698,2018,150
Delivery Fleet at UPS CC - GRASS VALLEY 11305,2018,150
Delivery Fleet at UPS CC  - ANDERSON 11325,2018,150
Delivery Fleet at UPS CC - ROCKLIN 11326,2018,150
Delivery Fleet at UPS CC - LAKEPORT 11328,2018,150
Delivery Fleet at UPS CC - WEST SACRAMENTO 11315,2018,150
Delivery Fleet at UPS CC UKIAH 11322,2018,150
Delivery Fleet at UPS CORDOVA BUILDING 93411,2018,150
Delivery Fleet at UPS CC - SUSANVILLE 11333,2018,150
Delivery Fleet at UPS CC - SANTA ROSA 11323,2018,150
Delivery Fleet at UPS CC - NAPA 11330,2018,150
Delivery Fleet at UPS CC - FAIRFIELD 11313,2018,150
Delivery Fleet at UPS CC - FORT BRAGG 11335,2018,150
Delivery Fleet at UPS CC - PETALUMA 11340,2018,150
Delivery Fleet at UPS CC - SOUTH LAKE TAHOE 11334,2018,150
Delivery Fleet at UPS CC-OAKLEY 143816,2018,150
Delivery Fleet at UPS CC - CONCORD 11312,2018,150
Delivery Fleet at UPS CC - MERCED 11329,2018,150
Delivery Fleet at UPS CC - BISHOP 11495,2018,150
Delivery Fleet at UPS CC - CERES 11324,2018,150
Delivery Fleet at UPS CC - ANGELS CAMP 11341,2018,150
Delivery Fleet at UPS CC - SALINAS 11319,2018,150
Delivery Fleet at UPS CC - MONTEREY 11339,2018,150
Delivery Fleet at UPS CC - STOCKTON 11316,2018,150
Delivery Fleet at UPS CC - SAN JOSE 11338,2018,150
Delivery Fleet at UPS CC - SANTA CRUZ 11327,2018,150
Delivery Fleet at UPS CC - SUNNYVALE 11308,2018,150
Delivery Fleet at UPS CC - MENLO PARK 11311,2018,150
Delivery Fleet at UPS CC - SAN RAMON 11343,2018,150
Delivery Fleet at UPS CC - ANAHEIM 11476,2018,150
Delivery Fleet at UPS CC - ONTARIO 11482,2018,150
Delivery Fleet at UPS CC - ALISO VIEJO 11480,2018,150
Delivery Fleet at UPS CC - AVALON 11025,2018,150
Delivery Fleet at UPS CC - RIVERSIDE 11490,2018,150
Delivery Fleet at UPS CC - SAN BERNARDINO 11486,2018,150
Delivery Fleet at UPS CC - ROMOLAND 11493,2018,150
Delivery Fleet at UPS CC - YREKA 10697,2018,150
Delivery Fleet at UPS CC EUREKA 11320,2018,150
Delivery Fleet at UPS CC - CRESCENT CITY 11332,2018,150
Delivery Fleet at UPS CC - RICHMOND 11342,2018,150
Delivery Fleet at UPS CC - SAN RAFAEL 11310,2018,150
Delivery Fleet at UPS CC - OAKLAND 11309,2018,150
Delivery Fleet at UPS CC - SAN FRANCISCO 11306,2018,150
Delivery Fleet at UPS CC - SAN DIEGO 11478,2018,150
Delivery Fleet at UPS CC - CHULA VISTA 11479,2018,150
Delivery Fleet at UPS CC - SAN MARCOS 11487,2018,150
Delivery Fleet at UPS CC - PALM SPRINGS 11488,2018,150
Delivery Fleet at UPS CC - EL CENTRO 10549,2018,150
Delivery Fleet at UPS CC - YUCCA VALLEY 62292,2018,150
Delivery Fleet at UPS CC - SO SANFRANCISCO 11307,2018,150
Delivery Fleet at FedEx Ship Center Bakersfield BFLA,2018,150
Delivery Fleet at FedEx Ship Center Canoga Park JSNA,2018,150
Delivery Fleet at FedEx Ship Center Carlsbad CLDA,2018,150
Delivery Fleet at FedEx Ship Center Chico CICA,2018,150
Delivery Fleet at FedEx Ship Center Clovis FATA,2018,150
Delivery Fleet at FedEx Ship Center Costa Mesa APVA,2018,150
Delivery Fleet at FedEx Ship Center Culver City CCDA,2018,150
Delivery Fleet at FedEx Ship Center Emeryville JEMA,2018,150
Delivery Fleet at FedEx Ship Center Eureka EKAA,2018,150
Delivery Fleet at FedEx Ship Center Fullerton FULA,2018,150
Delivery Fleet at FedEx Ship Center Gardena TOAA,2018,150
Delivery Fleet at FedEx Ship Center Goleta SBAA,2018,150
Delivery Fleet at FedEx Ship Center Grass Valley OVEA,2018,150
Delivery Fleet at FedEx Ship Center Hawthorne HHRA,2018,150
Delivery Fleet at FedEx Ship Center Imperial IPLA,2018,150
Delivery Fleet at FedEx Ship Center City Of Industry POCA,2018,150
Delivery Fleet at FedEx Ship Center Irvine NZJA,2018,150
Delivery Fleet at FedEx Ship Center Lancaster WJFA,2018,150
Delivery Fleet at FedEx Ship Center Los Angeles VXCE,2018,150
Delivery Fleet at FedEx Ship Center Los Angeles EMTA,2018,150
Delivery Fleet at FedEx Ship Center Los Angeles JGXA,2018,150
Delivery Fleet at FedEx Ship Center Marina Del Rey SMOA,2018,150
Delivery Fleet at FedEx Ship Center Menlo Park PAOA,2018,150
Delivery Fleet at FedEx Ship Center Merced MCEA,2018,150
Delivery Fleet at FedEx Ship Center Modesto MODA,2018,150
Delivery Fleet at FedEx Ship Center Monterey MRYA,2018,150
Delivery Fleet at FedEx Ship Center North Hills VNYA,2018,150
Delivery Fleet at FedEx Ship Center Oakland JBSA,2018,150
Delivery Fleet at FedEx Ship Center Ontario ONTA,2018,150
Delivery Fleet at FedEx Ship Center Oxnard OXRA,2018,150
Delivery Fleet at FedEx Ship Center Pacheco CCRA,2018,150
Delivery Fleet at FedEx Ship Center Palm Springs PSPA,2018,150
Delivery Fleet at FedEx Ship Center Petaluma NOTA,2018,150
Delivery Fleet at FedEx Ship Center Pleasanton LVKA,2018,150
Delivery Fleet at FedEx Ship Center Rancho Cordova MHRA,2018,150
Delivery Fleet at FedEx Ship Center Redding RDDA,2018,150
Delivery Fleet at FedEx Ship Center Ridgecrest IYKA,2018,150
Delivery Fleet at FedEx Ship Center Rocklin AUNA,2018,150
Delivery Fleet at FedEx Ship Center Sacramento SMFA,2018,150
Delivery Fleet at FedEx Ship Center Sacramento SMFE,2018,150
Delivery Fleet at FedEx Ship Center San Diego JBKA,2018,150
Delivery Fleet at FedEx Ship Center San Diego MYFA,2018,150
Delivery Fleet at FedEx Ship Center San Diego SANA,2018,150
Delivery Fleet at FedEx Ship Center San Diego SDMA,2018,150
Delivery Fleet at FedEx Ship Center San Francisco PCCE,2018,150
Delivery Fleet at FedEx Ship Center San Francisco SFOA,2018,150
Delivery Fleet at FedEx Ship Center San Jose RHVA,2018,150
Delivery Fleet at FedEx Ship Center San Luis Obispo SBPA,2018,150
Delivery Fleet at FedEx Ship Center San Rafael SRFA,2018,150
Delivery Fleet at FedEx Ship Center Santa Fe Springs JDYA,2018,150
Delivery Fleet at FedEx Ship Center Santa Maria SMXA,2018,150
Delivery Fleet at FedEx Ship Center Signal Hill LGBA,2018,150
Delivery Fleet at FedEx Ship Center Soquel SRUA,2018,150
Delivery Fleet at FedEx Ship Center South San Francisco SQLA,2018,150
Delivery Fleet at FedEx Ship Center Stockton SCKA,2018,150
Delivery Fleet at FedEx Ship Center Sun Valley BURA,2018,150
Delivery Fleet at FedEx Ship Center Sunnyvale COAA,2018,150
Delivery Fleet at FedEx Ship Center Temecula HMTA,2018,150
Delivery Fleet at FedEx Ship Center Ukiah UKIA,2018,150
Delivery Fleet at FedEx Ship Center Victorville DAGA,2018,150
Delivery Fleet at FedEx Ship Center Visalia VISA,2018,150
Delivery Fleet at FedEx Ship Center Yuba City MYVA,2018,150
Port Drayage Trucks at Port Oakland,2019,150
Port Drayage Trucks at Port Long Beach,2019,150
Port Drayage Trucks at Port Los Angeles,2019,150
Port Drayage Trucks at Port San Diego,2019,150
Port Drayage Trucks at Port Redwood City,2019,150
Port Drayage Trucks at Port San Francisco,2019,150
Port Drayage Trucks at Port Richmond,2019,150
Port Drayage Trucks at Port Hueneme,2019,150
Port Drayage Trucks at Port Stockton,2019,150
Trucks at Bob Hope (Burbank) Airport (BUR),2019,150
Trucks at Fresno Yosemite International Airport (FAT),2019,150
Trucks at John Wayne / Orange County Airport (SNA),2019,150
Trucks at Long Beach Municipal Airport (LGB),2019,150
Trucks at Los Angeles International Airport (LAX),2019,150
Trucks at Los Angeles Ontario International Airport (ONT),2019,150
Trucks at Norman Y. Mineta San Jos_ International Airport (SJC),2019,150
Trucks at Oakland International Airport (OAK),2019,150
Trucks at Sacramento International Airport (SMF),2019,150
Trucks at Sacramento Mather Airport (MHR),2019,150
Trucks at San Diego International Airport (SAN),2019,150
Trucks at San Francisco International Airport (SFO),2019,150
Truck Fleet at Ames Industrial Park,2019,150
Truck Fleet at Arch Road Logistics Center,2019,150
Truck Fleet at Beckman Industrial Park,2019,150
Truck Fleet at Broken Drum Industrial Park,2019,150
Truck Fleet at Buena Park Industrial Center,2019,150
Truck Fleet at California Logistics Centre,2019,150
Truck Fleet at Campbell Industrial Park,2019,150
Truck Fleet at Carmelo Industrial Park,2019,150
Truck Fleet at Central Valley Industrial Park,2019,150
Truck Fleet at Charter Industrial Area,2019,150
Truck Fleet at Cherokee Industrial Park,2019,150
Truck Fleet at Collins Industrial Park,2019,150
Truck Fleet at Concord Diablo Industrial Park,2019,150
Truck Fleet at Concord Industrial Park,2019,150
Truck Fleet at Conti Industrial Park,2019,150
Truck Fleet at Corona Industrial Park,2019,150
Truck Fleet at Cupertino Industrial Park,2019,150
Truck Fleet at Delta Court Industrial Park,2019,150
Truck Fleet at Diablo Industrial Park,2019,150
Truck Fleet at Edgewater Industrial Center,2019,150
Truck Fleet at El Pinal Industrial Park,2019,150
Truck Fleet at Enterprise Distribution Center,2019,150
Truck Fleet at Fairgrounds Industrial Park,2019,150
Truck Fleet at Fremont Industrial Park,2019,150
Truck Fleet at Giant Trade Center,2019,150
Truck Fleet at Gladstone Industrial Park,2019,150
Truck Fleet at Goldring Industrial Park,2019,150
Truck Fleet at Grant Industrial Park,2019,150
Truck Fleet at Hayman Street Industrial Complex,2019,150
Truck Fleet at Hensley Industrial Park,2019,150
Truck Fleet at Hesperian Industrial Park,2019,150
Truck Fleet at Hilltop Industrial Park,2019,150
Truck Fleet at Koll Arden Industrial Center,2019,150
Truck Fleet at La Cienega Industrial Park,2019,150
Truck Fleet at Lathrop Industrial Park,2019,150
Truck Fleet at Los Angeles Industrial Park,2019,150
Truck Fleet at Mabury Industrial Park,2019,150
Truck Fleet at MacArthur Industrial Park,2019,150
Truck Fleet at Manteca Industrial Park,2019,150
Truck Fleet at Mason Industrial Park,2019,150
Truck Fleet at Massie Industrial Park,2019,150
Truck Fleet at Milpitas Industrial Park,2019,150
Truck Fleet at Monrovia Industrial Park,2019,150
Truck Fleet at North County Industrial Park,2019,150
Truck Fleet at North Hayward Industrial Park,2019,150
Truck Fleet at Oakmead Industrial Park,2019,150
Truck Fleet at Rancho Sierra Industrial Park,2019,150
Truck Fleet at Rheem Industrial Park,2019,150
Truck Fleet at Saticoy Industrial Park,2019,150
Truck Fleet at Shary Industrial Park,2019,150
Truck Fleet at Stonebridge Industrial Park,2019,150
Truck Fleet at Sycamore Industrial Park,2019,150
Truck Fleet at Torrey Knolls Industrial Park,2019,150
Truck Fleet at Triangle Industrial Park,2019,150
Truck Fleet at Victory Industrial Park,2019,150
Truck Fleet at Walnut Industrial Park,2019,150
Truck Fleet at West Park Logistics Center,2019,150
Truck Fleet at Westminster Industrial Center,2019,150
Truck Fleet at Whitehall Industrial Park,2019,150
Truck Fleet at Wiegman Distribution Center,2019,150
Truck Fleet at Williams Street Industrial Park,2019,150
Truck Fleet at Winton Industrial Center,2019,150
Truck Fleet at Winton Logistics Center,2019,150
Truck Fleet at Wrigley Creek Industrial Park,2019,150
Truck Fleet at Zanker/Charcot Industrial Park,2019,150
Truck Fleet at Centerpoint Intermodal Center,2019,150
Truck Fleet at Fairchild Industrial Park,2019,150
Truck Fleet at Old River Industrial Park,2019,150
Truck Fleet at ProLogis Park Duck Creek,2019,150
Santa Monica Big Blue Bus,2019,150
Fresno Area Express,2019,150
Santa Barbara Metropolitan Transit District,2019,150
Santa Cruz Metropolitan Transit District,2019,150
Monterey-Salinas Transit,2019,150
Santa Clarita Transit,2019,150
Fresno County Rural Transit Agency,2019,150
Los Angeles County MTA Division 1,2019,150
Los Angeles County MTA Division 2,2019,150
Los Angeles County MTA Division 3,2019,150
Los Angeles County MTA Division 5,2019,150
Los Angeles County MTA Division 6,2019,150
Los Angeles County MTA Division 7,2019,150
Los Angeles County MTA Division 8,2019,150
Los Angeles County MTA Division 9,2019,150
Los Angeles County MTA Division 10,2019,150
Los Angeles County MTA Division 11,2019,150
Los Angeles County MTA Division 13,2019,150
Los Angeles County MTA Division 15,2019,150
Los Angeles County MTA Division 18,2019,150
Orange County Transportation Authority Garden Grove,2019,150
Orange County Transportation Authority Santa Ana,2019,150
San Diego Metropolitan Transit System Imperial Avenue Division,2019,150
San Diego Metropolitan Transit System Kearny Mesa Division,2019,150
San Diego Metropolitan Transit System South Bay Bus Maintenance Facility,2019,150
San Diego Metropolitan Transit System East County Bus Maintenance Facility,2019,150
San Diego Metropolitan Transit System Copley Park Maintenance Facility,2019,150
Alameda/Contra Costa Transit District Emeryville Division,2019,150
Alameda/Contra Costa Transit District Richmond Division,2019,150
Alameda/Contra Costa Transit District East Oakland Division,2019,150
Alameda/Contra Costa Transit District Hayward Division,2019,150
Santa Clara Valley Transportation Authority - Chaboya Division,2019,150
Santa Clara Valley Transportation Authority - Cerone Division,2019,150
Santa Clara Valley Transportation Authority - North Division,2019,150
San Mateo County Transit District North Base,2019,150
San Mateo County Transit District South Base,2019,150
Sacramento Regional Transit District,2019,150
Golden Gate Transit - San Rafael,2019,150
Golden Gate Transit - Santa Rosa,2019,150
Golden Gate Transit - Novato,2019,150
Golden Gate Transit - San Francisco,2019,150
Riverside Transit Agency - Riverside Division,2019,150
Riverside Transit Agency -  Hemet Division,2019,150
Delivery Fleet at UPS CC - BAKERSFIELD 11318,2019,150
Delivery Fleet at UPS CC - MOJAVE 11497,2019,150
Delivery Fleet at UPS CC - LANCASTER 11492,2019,150
Delivery Fleet at UPS CC - VISALIA 11321,2019,150
Delivery Fleet at UPS CC - RIDGECREST 11496,2019,150
Delivery Fleet at UPS CC - VENTURA 11485,2019,150
Delivery Fleet at UPS CC - GOLETA 11489,2019,150
Delivery Fleet at UPS CC - NEWBURY PARK 11481,2019,150
Delivery Fleet at UPS CC - SYLMAR 11031,2019,150
Delivery Fleet at UPS CC - VAN NUYS 11021,2019,150
Delivery Fleet at UPS CC - SANTA MARIA 11494,2019,150
Delivery Fleet at UPS CC - SAN LUIS OBISPO 11491,2019,150
Delivery Fleet at UPS CC LOS ANGELES 11026,2019,150
Delivery Fleet at UPS CC - LOS ANGELES 11022,2019,150
Delivery Fleet at UPS CC - LOS ANGELES 11023,2019,150
Delivery Fleet at UPS CC - FRESNO 11317,2019,150
Delivery Fleet at UPS CC - BALDWIN PARK 11024,2019,150
Delivery Fleet at UPS CC - GARDENA 11477,2019,150
Delivery Fleet at UPS CC - VICTORVILLE 11483,2019,150
Delivery Fleet at UPS CERRITOS 11027,2019,150
Delivery Fleet at UPS CC CHICO 11314,2019,150
Delivery Fleet at UPS CC - MARYSVILLE 11331,2019,150
Delivery Fleet at UPS CC - QUANCY 10698,2019,150
Delivery Fleet at UPS CC - GRASS VALLEY 11305,2019,150
Delivery Fleet at UPS CC  - ANDERSON 11325,2019,150
Delivery Fleet at UPS CC - ROCKLIN 11326,2019,150
Delivery Fleet at UPS CC - LAKEPORT 11328,2019,150
Delivery Fleet at UPS CC - WEST SACRAMENTO 11315,2019,150
Delivery Fleet at UPS CC UKIAH 11322,2019,150
Delivery Fleet at UPS CORDOVA BUILDING 93411,2019,150
Delivery Fleet at UPS CC - SUSANVILLE 11333,2019,150
Delivery Fleet at UPS CC - SANTA ROSA 11323,2019,150
Delivery Fleet at UPS CC - NAPA 11330,2019,150
Delivery Fleet at UPS CC - FAIRFIELD 11313,2019,150
Delivery Fleet at UPS CC - FORT BRAGG 11335,2019,150
Delivery Fleet at UPS CC - PETALUMA 11340,2019,150
Delivery Fleet at UPS CC - SOUTH LAKE TAHOE 11334,2019,150
Delivery Fleet at UPS CC-OAKLEY 143816,2019,150
Delivery Fleet at UPS CC - CONCORD 11312,2019,150
Delivery Fleet at UPS CC - MERCED 11329,2019,150
Delivery Fleet at UPS CC - BISHOP 11495,2019,150
Delivery Fleet at UPS CC - CERES 11324,2019,150
Delivery Fleet at UPS CC - ANGELS CAMP 11341,2019,150
Delivery Fleet at UPS CC - SALINAS 11319,2019,150
Delivery Fleet at UPS CC - MONTEREY 11339,2019,150
Delivery Fleet at UPS CC - STOCKTON 11316,2019,150
Delivery Fleet at UPS CC - SAN JOSE 11338,2019,150
Delivery Fleet at UPS CC - SANTA CRUZ 11327,2019,150
Delivery Fleet at UPS CC - SUNNYVALE 11308,2019,150
Delivery Fleet at UPS CC - MENLO PARK 11311,2019,150
Delivery Fleet at UPS CC - SAN RAMON 11343,2019,150
Delivery Fleet at UPS CC - ANAHEIM 11476,2019,150
Delivery Fleet at UPS CC - ONTARIO 11482,2019,150
Delivery Fleet at UPS CC - ALISO VIEJO 11480,2019,150
Delivery Fleet at UPS CC - AVALON 11025,2019,150
Delivery Fleet at UPS CC - RIVERSIDE 11490,2019,150
Delivery Fleet at UPS CC - SAN BERNARDINO 11486,2019,150
Delivery Fleet at UPS CC - ROMOLAND 11493,2019,150
Delivery Fleet at UPS CC - YREKA 10697,2019,150
Delivery Fleet at UPS CC EUREKA 11320,2019,150
Delivery Fleet at UPS CC - CRESCENT CITY 11332,2019,150
Delivery Fleet at UPS CC - RICHMOND 11342,2019,150
Delivery Fleet at UPS CC - SAN RAFAEL 11310,2019,150
Delivery Fleet at UPS CC - OAKLAND 11309,2019,150
Delivery Fleet at UPS CC - SAN FRANCISCO 11306,2019,150
Delivery Fleet at UPS CC - SAN DIEGO 11478,2019,150
Delivery Fleet at UPS CC - CHULA VISTA 11479,2019,150
Delivery Fleet at UPS CC - SAN MARCOS 11487,2019,150
Delivery Fleet at UPS CC - PALM SPRINGS 11488,2019,150
Delivery Fleet at UPS CC - EL CENTRO 10549,2019,150
Delivery Fleet at UPS CC - YUCCA VALLEY 62292,2019,150
Delivery Fleet at UPS CC - SO SANFRANCISCO 11307,2019,150
Delivery Fleet at FedEx Ship Center Bakersfield BFLA,2019,150
Delivery Fleet at FedEx Ship Center Canoga Park JSNA,2019,150
Delivery Fleet at FedEx Ship Center Carlsbad CLDA,2019,150
Delivery Fleet at FedEx Ship Center Chico CICA,2019,150
Delivery Fleet at FedEx Ship Center Clovis FATA,2019,150
Delivery Fleet at FedEx Ship Center Costa Mesa APVA,2019,150
Delivery Fleet at FedEx Ship Center Culver City CCDA,2019,150
Delivery Fleet at FedEx Ship Center Emeryville JEMA,2019,150
Delivery Fleet at FedEx Ship Center Eureka EKAA,2019,150
Delivery Fleet at FedEx Ship Center Fullerton FULA,2019,150
Delivery Fleet at FedEx Ship Center Gardena TOAA,2019,150
Delivery Fleet at FedEx Ship Center Goleta SBAA,2019,150
Delivery Fleet at FedEx Ship Center Grass Valley OVEA,2019,150
Delivery Fleet at FedEx Ship Center Hawthorne HHRA,2019,150
Delivery Fleet at FedEx Ship Center Imperial IPLA,2019,150
Delivery Fleet at FedEx Ship Center City Of Industry POCA,2019,150
Delivery Fleet at FedEx Ship Center Irvine NZJA,2019,150
Delivery Fleet at FedEx Ship Center Lancaster WJFA,2019,150
Delivery Fleet at FedEx Ship Center Los Angeles VXCE,2019,150
Delivery Fleet at FedEx Ship Center Los Angeles EMTA,2019,150
Delivery Fleet at FedEx Ship Center Los Angeles JGXA,2019,150
Delivery Fleet at FedEx Ship Center Marina Del Rey SMOA,2019,150
Delivery Fleet at FedEx Ship Center Menlo Park PAOA,2019,150
Delivery Fleet at FedEx Ship Center Merced MCEA,2019,150
Delivery Fleet at FedEx Ship Center Modesto MODA,2019,150
Delivery Fleet at FedEx Ship Center Monterey MRYA,2019,150
Delivery Fleet at FedEx Ship Center North Hills VNYA,2019,150
Delivery Fleet at FedEx Ship Center Oakland JBSA,2019,150
Delivery Fleet at FedEx Ship Center Ontario ONTA,2019,150
Delivery Fleet at FedEx Ship Center Oxnard OXRA,2019,150
